Número,Módulo,Título,Fecha,Tutor/a,Vimeo ID,Vimeo URL
1,M1,INTRODUCCIÓN A LA BIODESPROGRAMACIÓN: LEYES UNIVERSALES,29 OCT 2024,Ofelia Puente,1025238330,https://vimeo.com/1025238330
2,M1,INTRODUCCIÓN A LA BIODESPROGRAMACIÓN: LEYES UNIVERSALES,05 NOV 2024,Ofelia Puente,1026939827,https://vimeo.com/1026939827
3,M1,INTRODUCCIÓN A LA BIODESPROGRAMACIÓN LEYES UNIVERSALES,12 NOV 2024,Ofelia Puente,1029305130,https://vimeo.com/1029305130
4,M2,LA NUEVA MEDICINA GERMÁNICA,19 NOV 2024,Ivette Ferrer,1031730011,https://vimeo.com/1031730011
5,M2,LA NUEVA MEDICINA GERMÁNICA,26 NOV 2024,Ivette Ferrer,1033897794,https://vimeo.com/1033897794
6,M2,LA NUEVA MEDICINA GERMÁNICA,03 DIC 2024,Ivette Ferrer,1036031036,https://vimeo.com/1036031036
7,M2,LA NUEVA MEDICINA GERMÁNICA,10 DIC 2024,Osmary Acebal,1038241359,https://vimeo.com/1038241359
8,M3,LA NUEVA MEDICINA GERMÁNICA 2,18 DIC 2024,Osmary Acebal,1040450220,https://vimeo.com/1040450220
9,M3,LA NUEVA MEDICINA GERMÁNICA 2,02 ENE 2025,Osmary Acebal,1043727944,https://vimeo.com/1043727944
10,M3,LA NUEVA MEDICINA GERMÁNICA 2,,Osmary Acebal,1045048409,https://vimeo.com/1045048409
11,M3,LA NUEVA MEDICINA GERMÁNICA 2,15 ENE 2025,Osmary Acebal,1047511132,https://vimeo.com/1047511132
12,M4,ANATOMÍA,11 FEB 2025,Dra. Dulce Herrera,1056031034,https://vimeo.com/1056031034
13,M4,ANATOMÍA,,Dra. Dulce Herrera,1051975093,https://vimeo.com/1051975093
14,M4,ANATOMÍA,21 ENE 2025,Dra. Dulce Herrera,1049320573,https://vimeo.com/1049320573
15,M4,ANATOMÍA,21 ENE 2025,Dra. Dulce Herrera,1049354652,https://vimeo.com/1049354652
16,M4,ANATOMÍA,04 FEB 2025,Dra. Dulce Herrera,1053847397,https://vimeo.com/1053847397
